Source,Commodity,CommodityCode,TotalAuthorized,AllocatedToPrivate,JurisdictionPool,TRPAPool,Unreleased,TotalBalanceRemaining,AsOfDate,LoadedDate,SourceFile
Grand Total,Residential allocations,RES,8687,6909,854,154,770,1778,2026-05-15,2026-05-15,AllocationsBalances_May2026.xlsx
Grand Total,Residential bonus units,RBU,2000,1260,238,502,0,740,2026-05-15,2026-05-15,AllocationsBalances_May2026.xlsx
Grand Total,Commercial floor area,CFA,1000000,511106,151703,137191,200000,488894,2026-05-15,2026-05-15,AllocationsBalances_May2026.xlsx
Grand Total,Tourist accommodation,TAU,400,196,130,74,0,204,2026-05-15,2026-05-15,AllocationsBalances_May2026.xlsx
1987 Regional Plan,Residential allocations,RES,6087,6070,17,0,0,17,2026-05-15,2026-05-15,AllocationsBalances_May2026.xlsx
1987 Regional Plan,Residential bonus units,RBU,1400,1042,238,120,0,358,2026-05-15,2026-05-15,AllocationsBalances_May2026.xlsx
1987 Regional Plan,Commercial floor area,CFA,800000,511106,151703,137191,0,288894,2026-05-15,2026-05-15,AllocationsBalances_May2026.xlsx
1987 Regional Plan,Tourist accommodation,TAU,400,196,130,74,0,204,2026-05-15,2026-05-15,AllocationsBalances_May2026.xlsx
2012 Regional Plan,Residential allocations,RES,2600,839,837,154,770,1761,2026-05-15,2026-05-15,AllocationsBalances_May2026.xlsx
2012 Regional Plan,Residential bonus units,RBU,600,218,0,382,0,382,2026-05-15,2026-05-15,AllocationsBalances_May2026.xlsx
2012 Regional Plan,Commercial floor area,CFA,200000,0,0,0,200000,200000,2026-05-15,2026-05-15,AllocationsBalances_May2026.xlsx
2012 Regional Plan,Tourist accommodation,TAU,0,0,0,0,0,0,2026-05-15,2026-05-15,AllocationsBalances_May2026.xlsx
