Jurisdiction,Commodity,Value
City of South Lake Tahoe,MFRUU,41
City of South Lake Tahoe,SFRUU,144
City of South Lake Tahoe,TAU,948
City of South Lake Tahoe,CFA,98465
Douglas County,MFRUU,0
Douglas County,SFRUU,96
Douglas County,TAU,131
Douglas County,CFA,95586
El Dorado County,MFRUU,0
El Dorado County,SFRUU,31
El Dorado County,TAU,1
El Dorado County,CFA,6695
Placer County,MFRUU,2
Placer County,SFRUU,53
Placer County,TAU,320
Placer County,CFA,61852
Washoe County,MFRUU,4
Washoe County,SFRUU,28
Washoe County,TAU,101
Washoe County,CFA,64178
Carson County,MFRUU,0
Carson County,SFRUU,0
Carson County,TAU,0
Carson County,CFA,0
