Year,Direction,Source,Units,SourceRow,AsOfDate,LoadedDate,SourceFile
2012,Added,Allocations,0,Added Residential Units from Residential Allocations,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2013,Added,Allocations,51,Added Residential Units from Residential Allocations,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2014,Added,Allocations,56,Added Residential Units from Residential Allocations,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2015,Added,Allocations,88,Added Residential Units from Residential Allocations,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2016,Added,Allocations,72,Added Residential Units from Residential Allocations,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2017,Added,Allocations,66,Added Residential Units from Residential Allocations,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2018,Added,Allocations,76,Added Residential Units from Residential Allocations,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2019,Added,Allocations,64,Added Residential Units from Residential Allocations,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2020,Added,Allocations,103,Added Residential Units from Residential Allocations,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2021,Added,Allocations,69,Added Residential Units from Residential Allocations,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2022,Added,Allocations,83,Added Residential Units from Residential Allocations,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2023,Added,Allocations,47,Added Residential Units from Residential Allocations,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2024,Added,Allocations,50,Added Residential Units from Residential Allocations,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2025,Added,Allocations,62,Added Residential Units from Residential Allocations,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2012,Added,Bonus Units,0,Added Residential Units from Residential Bonus Unit,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2013,Added,Bonus Units,0,Added Residential Units from Residential Bonus Unit,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2014,Added,Bonus Units,48,Added Residential Units from Residential Bonus Unit,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2015,Added,Bonus Units,0,Added Residential Units from Residential Bonus Unit,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2016,Added,Bonus Units,0,Added Residential Units from Residential Bonus Unit,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2017,Added,Bonus Units,0,Added Residential Units from Residential Bonus Unit,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2018,Added,Bonus Units,0,Added Residential Units from Residential Bonus Unit,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2019,Added,Bonus Units,9,Added Residential Units from Residential Bonus Unit,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2020,Added,Bonus Units,1,Added Residential Units from Residential Bonus Unit,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2021,Added,Bonus Units,1,Added Residential Units from Residential Bonus Unit,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2022,Added,Bonus Units,4,Added Residential Units from Residential Bonus Unit,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2023,Added,Bonus Units,4,Added Residential Units from Residential Bonus Unit,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2024,Added,Bonus Units,70,Added Residential Units from Residential Bonus Unit,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2025,Added,Bonus Units,85,Added Residential Units from Residential Bonus Unit,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2012,Added,Transfers,0,Added Residential Units from Transfers,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2013,Added,Transfers,1,Added Residential Units from Transfers,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2014,Added,Transfers,3,Added Residential Units from Transfers,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2015,Added,Transfers,7,Added Residential Units from Transfers,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2016,Added,Transfers,4,Added Residential Units from Transfers,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2017,Added,Transfers,8,Added Residential Units from Transfers,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2018,Added,Transfers,6,Added Residential Units from Transfers,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2019,Added,Transfers,8,Added Residential Units from Transfers,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2020,Added,Transfers,43,Added Residential Units from Transfers,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2021,Added,Transfers,10,Added Residential Units from Transfers,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2022,Added,Transfers,7,Added Residential Units from Transfers,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2023,Added,Transfers,10,Added Residential Units from Transfers,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2024,Added,Transfers,15,Added Residential Units from Transfers,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2025,Added,Transfers,16,Added Residential Units from Transfers,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2012,Added,Conversions,0,Added Residential Units from Conversions,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2013,Added,Conversions,1,Added Residential Units from Conversions,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2014,Added,Conversions,2,Added Residential Units from Conversions,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2015,Added,Conversions,4,Added Residential Units from Conversions,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2016,Added,Conversions,10,Added Residential Units from Conversions,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2017,Added,Conversions,3,Added Residential Units from Conversions,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2018,Added,Conversions,0,Added Residential Units from Conversions,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2019,Added,Conversions,3,Added Residential Units from Conversions,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2020,Added,Conversions,19,Added Residential Units from Conversions,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2021,Added,Conversions,27,Added Residential Units from Conversions,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2022,Added,Conversions,2,Added Residential Units from Conversions,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2023,Added,Conversions,17,Added Residential Units from Conversions,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2024,Added,Conversions,42,Added Residential Units from Conversions,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2025,Added,Conversions,31,Added Residential Units from Conversions,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2012,Added,Banked,0,Added Residential Units from Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2013,Added,Banked,5,Added Residential Units from Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2014,Added,Banked,8,Added Residential Units from Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2015,Added,Banked,3,Added Residential Units from Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2016,Added,Banked,3,Added Residential Units from Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2017,Added,Banked,3,Added Residential Units from Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2018,Added,Banked,5,Added Residential Units from Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2019,Added,Banked,14,Added Residential Units from Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2020,Added,Banked,32,Added Residential Units from Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2021,Added,Banked,29,Added Residential Units from Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2022,Added,Banked,7,Added Residential Units from Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2023,Added,Banked,28,Added Residential Units from Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2024,Added,Banked,13,Added Residential Units from Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2025,Added,Banked,21,Added Residential Units from Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2012,Removed,Banked,0,Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2013,Removed,Banked,-4,Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2014,Removed,Banked,-5,Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2015,Removed,Banked,-14,Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2016,Removed,Banked,-21,Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2017,Removed,Banked,-8,Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2018,Removed,Banked,-20,Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2019,Removed,Banked,-8,Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2020,Removed,Banked,-3,Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2021,Removed,Banked,-2,Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2022,Removed,Banked,-4,Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2023,Removed,Banked,-4,Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2024,Removed,Banked,-4,Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2025,Removed,Banked,-6,Banked,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2012,Removed,Converted,0,Converted,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2013,Removed,Converted,0,Converted,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2014,Removed,Converted,0,Converted,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2015,Removed,Converted,0,Converted,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2016,Removed,Converted,0,Converted,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2017,Removed,Converted,0,Converted,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2018,Removed,Converted,0,Converted,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2019,Removed,Converted,0,Converted,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2020,Removed,Converted,-1,Converted,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2021,Removed,Converted,-4,Converted,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2022,Removed,Converted,0,Converted,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2023,Removed,Converted,0,Converted,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2024,Removed,Converted,0,Converted,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
2025,Removed,Converted,-2,Converted,2026-05-15,2026-05-15,FINAL RES SUMMARY 2012 to 2025.xlsx
