reporting_year,noncanonical_label,occurrence_count,example_apns,canonical_label,notes
2023,Corrections - Units Removed Based on County Data,890,023-461-01; 026-032-14; 026-043-09; 026-088-23; 026-114-30,,
2023,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,733,007-011-01; 014-241-07; 014-244-06; 014-292-18; 014-310-18,,
2023,Correction Based on County Data,696,007-011-023; 007-011-23; 015-032-27; 015-032-29; 015-213-24,,
2023,Mobile Home Park Corrections,582,023-181-29; 023-181-46; 023-241-10; 023-840-01; 023-840-02,,
2023,Over-Correction,349,014-021-13; 014-242-08; 014-310-17; 015-064-01; 015-254-24,,
2023,Parcel is outside TRPA Boundary,273,1319-19-611-000; 1319-19-611-002; 1319-19-611-004; 1319-19-611-008; 1319-19-611-010,,
2023,Vacant Parcel,191,014-101-03; 014-101-04; 014-190-09; 014-200-09; 014-220-01,,
2023,Corrections based on County Data,57,015-162-23; 023-151-11; 023-161-33; 023-221-50; 023-221-52,,
2023,Common Area Corrections,32,032-420-01; 032-420-02; 032-420-03; 032-420-04; 032-420-05,,
2023,Unit(s) Added Based on GIS (Errors),26,015-020-02; 015-322-27; 021-031-29; 025-051-28; 025-803-09,,
2023,Vacant/Angora Fire,23,033-251-06; 033-272-19; 033-273-01; 033-281-03; 033-283-01,,
2023,HOA/Common Area Corrections,5,023-162-17; 023-393-31; 025-241-10; 025-510-02; 026-036-04,,
2023,"Commercial, Not Residential",2,016-410-10; 132-012-02,,
2023,"TAU, Not Residential",2,097-130-030; 117-071-026,,
2023,Vacant,2,127-030-38; 127-510-01,,
2023,"TAUs, Not Residential",1,023-111-46,,
2026,Parcel is outside TRPA Boundary; Unit(s) Removed in 2026,272,1319-19-611-000; 1319-19-611-002; 1319-19-611-004; 1319-19-611-008; 1319-19-611-010,,
